id,inventory_units
202319-6909,91.36486864
202319-17766,32.16239317
202319-25662,31.82844581
202319-58233,26.7477539
202319-65142,49.23111453
202319-81921,142.6363076
202319-93765,83.87666406
202319-138180,38.20866553
202319-143115,157.4047818
202319-201348,52.76666153
202319-213192,57.28361435
202319-214179,38.54877052
202319-230958,54.6647385
202319-231945,90.51506963
202319-247737,44.089974
202319-7896,74.3945705
202319-8883,11.76064683
202319-14805,48.39994221
202319-51324,20.96142844
202319-57246,26.26522832
202319-86856,10.88464512
202319-87843,211.4695879
202319-92778,55.37488712
202319-105609,29.50364261
202319-109557,64.40550429
202319-119427,44.23065252
202319-158907,30.73562873
202319-167790,103.5212286
202319-171738,32.85032086
202319-172725,9.473196302
202319-175686,48.39435574
202319-177660,22.10192417
202319-234906,0
202319-236880,15.51007145
202319-237867,68.97193961
202319-238854,66.35169792
202319-239841,50.11105695
202319-9870,14.8694437
202319-10857,39.52647862
202319-11844,3.778650017
202319-12831,10.01874166
202319-127323,25.586484
202319-129297,13.95575149
202319-130284,33.37601034
202319-157920,151.166752
202319-190491,19.56703053
202319-191478,75.07767124
202319-192465,66.29017848
202319-204309,83.5263258
202319-211218,35.32795024
202319-221088,7.541202213
202319-222075,8.279103514
202319-24675,86.18256487
202319-45402,114.098125
202319-46389,59.92368222
202319-48363,72.72348943
202319-80934,78.06778158
202319-112518,114.4031774
202319-240828,64.03470275
202319-242802,60.65892601
202319-30597,56.32455357
202319-32571,17.24427188
202319-43428,22.47924318
202319-59220,37.26690701
202319-62181,63.47912455
202319-64155,82.68663536
202319-73038,221.2256707
202319-75012,77.11894119
202319-77973,0
202319-83895,64.04569868
202319-89817,52.78333254
202319-94752,101.3694054
202319-99687,63.80763908
202319-107583,76.43097068
202319-114492,97.43759873
202319-116466,92.35728611
202319-148050,7.732003219
202319-155946,214.5243965
202319-169764,17.11907893
202319-182595,2.917979864
202319-183582,41.40912551
202319-184569,18.05740773
202319-195426,44.67865181
202319-196413,78.40764663
202319-197400,125.1820291
202319-226023,167.1767167
202319-233919,2.411328274
202319-235893,146.4580523
202319-33558,113.4969931
202319-37506,16.93734591
202319-41454,204.5417374
202319-82908,45.86886145
202319-91791,50.2994626
202319-163842,186.407435
202319-219114,32.83875271
202319-220101,56.1222834
202319-165816,18.99914517
202319-187530,55.32899135
202319-193452,43.92826661
202319-205296,30.78128608
202320-6909,96.95778612
202320-17766,66.47241409
202320-25662,51.44433416
202320-58233,42.32620319
202320-65142,59.81802529
202320-81921,162.2284274
202320-93765,97.5960646
202320-138180,43.83689362
202320-143115,172.3339497
202320-201348,53.62018969
202320-213192,74.50627805
202320-214179,45.84189207
202320-230958,61.55643683
202320-231945,115.9491853
202320-247737,50.5791103
202320-7896,70.21463519
202320-8883,10.79322833
202320-14805,55.14052618
202320-51324,21.88896358
202320-57246,28.42943534
202320-86856,11.58711602
202320-87843,203.3507011
202320-92778,58.55032424
202320-105609,33.37486497
202320-109557,62.76578883
202320-119427,38.42987846
202320-158907,33.30743822
202320-167790,103.5131027
202320-171738,47.33818886
202320-172725,15.43453118
202320-175686,51.71305793
202320-177660,31.47177863
202320-234906,0
202320-236880,29.67538925
202320-237867,58.84987064
202320-238854,66.99898545
202320-239841,54.44795003
202320-9870,22.9346706
202320-10857,53.86028081
202320-11844,3.444901823
202320-12831,13.58024819
202320-127323,28.67886707
202320-129297,14.77998677
202320-130284,33.93958235
202320-157920,155.903109
202320-190491,21.54400319
202320-191478,77.38034854
202320-192465,78.72821189
202320-204309,44.99241173
202320-211218,40.02406124
202320-221088,4.396232556
202320-222075,10.30518286
202320-24675,90.39145626
202320-45402,116.5919875
202320-46389,60.42819072
202320-48363,71.45713083
202320-80934,46.47553492
202320-112518,121.7232856
202320-240828,65.32249591
202320-242802,61.31374655
202320-30597,58.63920015
202320-32571,17.2980272
202320-43428,28.54877203
202320-59220,45.82373304
202320-62181,61.06831481
202320-64155,77.02193873
202320-73038,213.3484379
202320-75012,87.63239526
202320-77973,0
202320-83895,67.74840308
202320-89817,64.97892966
202320-94752,93.10799947
202320-99687,62.67958503
202320-107583,73.42430305
202320-114492,98.29741264
202320-116466,83.77881118
202320-148050,11.21553574
202320-155946,145.1857999
202320-169764,16.60607364
202320-182595,2.867955166
202320-183582,40.27402915
202320-184569,26.46319922
202320-195426,43.87983517
202320-196413,74.90372674
202320-197400,124.0041794
202320-226023,172.2171636
202320-233919,1.870407918
202320-235893,173.2067189
202320-33558,118.1840362
202320-37506,25.68577417
202320-41454,204.142617
202320-82908,52.35034072
202320-91791,51.09781117
202320-163842,198.136713
202320-219114,34.20984101
202320-220101,57.89641989
202320-165816,17.41175585
202320-187530,49.15849108
202320-193452,39.185867
202320-205296,40.30421678
202321-6909,86.1654287
202321-17766,50.71128658
202321-25662,61.59381821
202321-58233,46.50974399
